,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,5,5,0,0,0,0,4,0,6,6,6,0,3,0,117818559.7239252,0.0,22357579.451542422,0.025848377532178043,26403379.542306438,0.0,46821180.079952344,0.0,44374786.28691901,0.015534106974667996,1330300000.0,0.0
1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,2,0,4,1,4,0,1,0,0,0,4,3,0,7,0,7,85246019.34861892,0.0,97105266.60422453,0.0,0.0,0.0,19364628.02360858,0.0,100105457.62015328,0.0,771800000.0,0.0
2,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,5,2,0,0,0,2,6,2,3,2,4,0,3,1,160565419.95351923,0.05360223921087935,14827103.838622091,0.017054779577170713,84753354.03552133,0.0,28031896.220687415,0.0,58044072.09764524,0.0,846700000.0,0.0
3,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,3,0,7,0,1,5,3,0,0,0,0,3,4,0,9,6,68139002.95605196,0.0,165686109.06898776,0.001039259264615562,4653725.62279702,0.0012025064596402442,19375025.5665198,1.3742167391483258e-05,107608403.84178665,0.0,765700000.0,770.378272045447
4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,2,1,5,3,0,7,0.0,0.0,61304243.56496225,0.027445626530709935,23437778.141331587,0.002817910274686185,26334910.09460339,0.0,79232000.72221279,0.0,712100000.0,0.0
5,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,3,0,1,2,0,0,0,0,7,5,0,1,7,0,0,0,71223146.50296113,0.0,23117583.460002854,0.0033094476736705136,70656192.99188861,0.0,21069784.935395602,0.0,0.0,0.0,1187900000.0,1519.618820653506
6,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,0,1,0,0,0,0,76299088.11882158,0.0,58093958.43944539,0.06727720392108866,77796607.7187848,0.07886484058219213,6320800.309666242,0.0,0.0,0.0,387000000.0,0.0
7,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,6,5,0,0,0,1,0,0,3,0,7,0,0,0,126745040.65873201,0.0,22532964.99195637,0.02624768978181103,20299287.62732069,0.0,24227584.784522224,0.0,0.0,0.0,1723200000.0,0.0
8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,7,0,0,6,0,1,2,0,4,0,42291505.65437629,0.0,312678130.89735377,0.0,105738506.715652,0.16300680621460065,14180759.35543549,0.00020005652967051144,33377116.55719709,0.0,169200000.0,0.0
9,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,2,3,0,0,0,32694901.094161935,0.0,23059121.6131982,0.027445626530709935,20299287.62732069,0.0,26562940.128449157,0.0,65074491.5874086,0.07190025975892557,540600000.0,0.0
10,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,3,4,0,0,0,3,3,4,4,0,0,2,3,0,0,95213987.28559849,0.0,63020574.48255008,0.01785340407643665,86806179.74687824,0.0,19495783.686967615,0.007771626852153303,30351526.042379983,0.0,363800000.0,0.0
11,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,3,0,6,3,0,3,0,0,0,1,0,2,1,0,0,0,112454988.58836943,0.0,55913501.95116895,0.0011560615549443842,49413653.30344652,0.007757540611638428,14092235.304915495,0.0,0.0,0.0,885500000.0,2087.722289206791
12,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,2,0,0,4,2,1,0,0,1,0.0,0.0,73315450.27094865,0.0,26983097.46862807,0.010661444847266608,25814602.496021114,0.0,75279484.08144662,0.05653431934815812,405700000.0,0.0
13,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,5,2,0,0,0,2,0,0,3,2,6,0,0,1,98043050.03325048,0.0,22357579.451542422,0.025848377532178043,22167818.198803753,0.0,31452076.64453512,0.0,53440381.819449514,0.03146602296196317,771800000.0,0.0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,6,6,0,0,72222705.9376919,0.0,58093958.43944539,0.06727720392108866,24198032.45136138,0.0,12586457.998778107,0.0,40273672.383724004,0.0,84600000.0,0.0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,3,3,3,1,4,0,3,7,68139002.95605196,0.0,85409756.25325334,0.022425734640362887,102242951.6364133,0.11205619158811096,26534414.88134467,0.0,79232000.72221279,0.0,0.0,0.0
16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6,2,0,0,0,3,2,3,0,0,7,32694901.094161935,0.0,168405639.765709,0.009148542176903312,43183905.33314553,0.09562865307315016,26562940.128449157,0.0,120925330.04579836,0.08540190182720724,115300000.0,0.0
17,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,6,0,0,0,1,1,6,3,0,0,0,0,3,0,60717312.84309486,0.0,60895010.63732973,0.026513897948233,83385434.83688812,0.0,5543293.201377078,0.003488014740691694,42719826.67146216,0.013691197921473199,607900000.0,0.0
18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,5,0,0,0,0,0,0,3,1,6,37255203.23710208,0.0,214456647.0653237,0.0,111509563.49541059,0.24451020932190098,0.0,0.0,104111123.05742735,0.0,302400000.0,0.0
19,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,7,4,2,0,0,0,0,0,0,0,1,1,0,0,0,182588475.12473074,0.0,22942197.9195889,0.009784590611143666,0.0,0.0,12857587.774250694,0.0,0.0,0.0,1268900000.0,732.8026763007767
20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,4,0,0,3,0,0,0,0,0,3,0,0,0,166357679.4734757,0.024236612635373203,80649599.52883263,0.03808686298460884,17764099.1102051,0.03941775064695738,8453407.696608048,0.0,12368300.62908218,0.013691197921473199,377300000.0,0.0
21,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,3,0,0,0,3,0,7,8,5,0,0,1,3,0,1,42291505.65437629,0.0,55490098.86962974,0.003261530203714555,129063998.88101615,0.0,10356433.560507463,0.0009216036569954262,58044072.09764524,0.0,664100000.0,409.17578338497447
22,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,7,6,0,0,1,0,1,6,0,0,0,0,0,0,1,144956226.29360634,0.0,69705171.79491878,0.013349814676500711,52771009.1301844,0.0,3760598.340321849,0.0008863698774778797,37405514.71525591,0.004928831251730351,339000000.0,1621.3114769128674
23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,7,72222705.9376919,0.0,58093958.43944539,0.06727720392108866,109513165.31103551,0.23659452174657641,6320800.309666242,0.0,44193513.54513965,0.0,169200000.0,0.0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,3,0,0,0,0,0,0,7,0,7,102192937.55533153,0.0,87442461.32997963,0.045909099892564274,110178631.37249386,0.2392330842716846,0.0,0.0,100105457.62015328,0.0,84600000.0,0.0
25,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,1,1,0,0,7,98043050.03325048,0.0,22649888.68556567,0.026513897948233,37639301.98862314,0.08148255666382012,14628387.131679531,0.0011127175529298346,68930114.80330402,0.027382395842946397,825700000.0,0.0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,7,4,0,0,0,3,121664486.34854928,0.017450361097468708,58093958.43944539,0.024219793411591917,20299287.62732069,0.0,26527642.362493023,0.0,30351526.042379983,0.0,0.0,2427.238908369676
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,7,3,7,72222705.9376919,0.0,110545598.76009402,0.032853747567789686,110766873.9298752,0.24156545681098246,0.0,0.0,144434812.27797168,0.0,84600000.0,0.0
28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,4,0,7,0,7,94979303.71425684,0.0,23059121.6131982,0.027445626530709935,0.0,0.0,9695195.36216505,0.0,100105457.62015328,0.0,589200000.0,0.0
29,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,5,1,7,0,1,0,0,0,0,0.0,0.0,22649888.68556567,0.026513897948233,94676408.35698798,0.0,7982099.854362994,0.0009943658315848382,37104901.88724654,0.041073593764419596,997200000.0,0.0
30,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,1,0,0,1,4,102192937.55533153,0.0,22942197.9195889,0.027179418364287965,0.0,0.0,6320800.309666242,0.0,59554855.274964996,0.0,710400000.0,0.0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,1,0,0,7,0,130661372.87632072,0.019296806115916568,57717596.29446736,0.023911313218778187,93308064.50134437,0.05678268521917834,6320800.309666242,0.0,44193513.54513965,0.0,0.0,4320.685955400653
32,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,1,0,0,5,104000676.5449382,0.0,22649888.68556567,0.026513897948233,37704218.719824985,0.08173995048767091,16618186.114572544,0.0024621385485496658,61413277.09845886,0.027382395842946397,485000000.0,0.0
33,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,7,1,2,7,10,5,0,2,6,0,0,0,0.0,0.0,177725050.68724,0.0,141145116.79324996,0.0,22638856.42201343,0.0003937303166754716,2890182.4796263296,0.0011453746056096026,1285900000.0,188.4804891387166
