,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs
0,277,68139002.95605196,112916810.03891474,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
1,277,68139002.95605196,103262609.97012924,126101524.65875304,22258486.725668453,38731284.5640028,0.0,0.0
2,277,68139002.95605196,311969797.17524445,126101524.65875304,22258486.725668453,33962538.3667758,0.0,0.0
3,277,68139002.95605196,445269322.27034205,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
4,277,68139002.95605196,96581260.9785676,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
5,277,68139002.95605196,168871628.00025094,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
6,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,115819723.32281432,0.0,0.0
7,277,68139002.95605196,90143923.5488522,128178241.78298216,22258486.725668453,42571565.20311511,0.0,0.0
8,277,68139002.95605196,91023724.71490432,141022873.91260087,22258486.725668453,173808261.70543844,0.0,0.0
9,277,68139002.95605196,100364411.29653569,126101524.65875304,22258486.725668453,203183021.23338905,0.0,0.0
10,277,68139002.95605196,91577473.9542908,126101524.65875304,22258486.725668453,112732429.55822176,0.0,0.0
11,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,40820504.91739128,0.0,0.0
12,277,68139002.95605196,384296125.7241268,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
13,277,68139002.95605196,533154757.3833139,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
14,277,68139002.95605196,90446449.15650208,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
15,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,35333137.34174377,0.0,0.0
16,277,68139002.95605196,90143923.5488522,126101524.65875304,30508462.748870887,33377116.55719709,0.0,0.0
17,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,108149773.98980546,0.0,0.0
18,277,68139002.95605196,118701549.56540772,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
19,277,68139002.95605196,125740809.22149922,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
20,277,68139002.95605196,114413510.35540436,126101524.65875304,22258486.725668453,166175886.5290479,0.0,0.0
21,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,112907953.5021238,0.0,0.0
22,277,68139002.95605196,114015666.9541868,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
23,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,112160577.65604864,0.0,0.0
24,277,68139002.95605196,127964717.81128912,126101524.65875304,22258486.725668453,535360174.7484899,0.0,0.0
25,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,104931644.18467484,0.0,0.0
26,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
27,277,68139002.95605196,90143923.5488522,140862637.53308558,22258486.725668453,33377116.55719709,0.0,0.0
28,277,68139002.95605196,97959479.9331146,126101524.65875304,22258486.725668453,103207389.65923928,0.0,0.0
29,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
30,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,42263202.057849705,0.0,0.0
31,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
32,277,68139002.95605196,125580007.7849047,126101524.65875304,22258486.725668453,39626298.18831344,0.0,0.0
33,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,123769178.3791587,0.0,0.0
34,277,68139002.95605196,101944101.55771524,126101524.65875304,33154540.738519654,96039932.78314494,0.0,0.0
35,277,68139002.95605196,193109570.16453528,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
36,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
37,277,68139002.95605196,110793116.75790952,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
38,277,68139002.95605196,120113571.30074692,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
39,277,68139002.95605196,97978370.1122964,126101524.65875304,22258486.725668453,149973229.55923834,0.0,0.0
40,277,2171485581.320192,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
41,277,68139002.95605196,116806741.70893092,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
42,277,68139002.95605196,114349155.03399748,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
43,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,100906328.83603312,0.0,0.0
44,277,162069675.5388568,278527335.40533894,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
45,277,68139002.95605196,96544265.83126068,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
46,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
47,277,68139002.95605196,90860554.17778136,126387951.47976428,22258486.725668453,33377116.55719709,0.0,0.0
48,277,68139002.95605196,186475281.78192815,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
49,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
50,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
51,277,68139002.95605196,99963006.86471216,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
52,277,68139002.95605196,97906135.86084202,126101524.65875304,22258486.725668453,38168068.33942388,0.0,0.0
53,277,68139002.95605196,91014848.62506332,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
54,277,68139002.95605196,91013217.10915124,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
55,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,124662403.140554,0.0,0.0
56,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,111469643.11204936,0.0,0.0
57,277,68139002.95605196,90143923.5488522,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
58,277,68139002.95605196,117147507.98001552,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
59,277,68139002.95605196,277580847.6330309,126101524.65875304,22258486.725668453,33377116.55719709,0.0,0.0
