,policy,A.1 Total Costs,A.2 Total Costs,A.3 Total Costs,A.4 Total Costs,A.5 Total Costs,RfR Total Costs,Expected Evacuation Costs,,,,,,,,,,,,,,,,,,,,,
0,277,68139002.96,112916810,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
1,277,68139002.96,103262610,126101524.7,22258486.73,38731284.56,0,0,,,,A.1 Total Costs,,,A.2 Total Costs,,,A.3 Total Costs,,,A.4 Total Costs,,,A.5 Total Costs,,,RfR Total Costs,,
2,277,68139002.96,311969797.2,126101524.7,22258486.73,33962538.37,0,0,,,policy,Max,Min,Average,Max,Min,Average,Max,Min,Average,Max,Min,Average,Max,Min,Average,Max,Min,Average
3,277,68139002.96,445269322.3,126101524.7,22258486.73,33377116.56,0,0,,,277," 3,199,730,952 "," 68,139,003 "," 83,067,745 "," 1,161,278,537 "," 90,143,924 "," 125,357,252 "," 150,395,364 "," 126,101,525 "," 126,273,807 "," 90,184,615 "," 22,258,487 "," 22,791,765 "," 1,208,081,965 "," 33,377,117 "," 77,535,753 ", -   , -   , -   
4,277,68139002.96,96581260.98,126101524.7,22258486.73,33377116.56,0,0,,,558," 1,204,904,396 "," 180,824,754 "," 186,042,882 "," 320,419,865 "," 241,293,734 "," 241,838,143 "," 832,860,298 "," 34,221,562 "," 39,503,985 "," 162,180,354 ", -   ," 23,684,785 "," 1,009,284,709 "," 25,037,214 "," 65,891,345 "," 242,400,000 "," 242,400,000 "," 242,400,000 "
5,277,68139002.96,168871628,126101524.7,22258486.73,33377116.56,0,0,,,683," 3,641,194,926 "," 47,847,948 "," 203,666,201 "," 955,454,032 "," 104,651,658 "," 116,213,114 "," 1,505,707,647 "," 62,267,438 "," 69,387,298 "," 197,495,407 "," 8,453,408 "," 30,771,731 "," 1,561,736,114 "," 50,929,971 "," 172,960,613 ", -   , -   , -   
6,277,68139002.96,90143923.55,126101524.7,22258486.73,115819723.3,0,0,,,832," 2,496,609,433 "," 143,356,957 "," 203,483,954 "," 312,091,048 "," 280,539,504 "," 280,704,684 "," 2,498,145,018 "," 28,798,397 "," 71,161,801 "," 155,063,066 "," 18,081,997 "," 21,540,613 "," 1,460,232,172 "," 30,351,526 "," 160,415,785 ", -   , -   , -   
7,277,68139002.96,90143923.55,128178241.8,22258486.73,42571565.2,0,0,,,1221," 2,558,838,686 "," 106,293,785 "," 131,677,518 "," 1,124,493,187 "," 53,358,574 "," 81,160,946 "," 220,619,131 "," 136,214,113 "," 136,719,479 "," 176,838,101 "," 16,925,244 "," 21,635,008 "," 1,130,591,028 "," 75,156,962 "," 212,330,288 ", -   , -   , -   
8,277,68139002.96,91023724.71,141022873.9,22258486.73,173808261.7,0,0,,,,,,,,,,,,,,,,,,,,,
9,277,68139002.96,100364411.3,126101524.7,22258486.73,203183021.2,0,0,,,,Total,,,,,,,,,,,,,,,,,
10,277,68139002.96,91577473.95,126101524.7,22258486.73,112732429.6,0,0,,,,Max,Min,Average,,,,,,,,,,,,,,,
11,277,68139002.96,90143923.55,126101524.7,22258486.73,40820504.92,0,0,,,277," 5,809,671,433 "," 340,020,054 "," 435,026,321 ",,,,,,,,,,,,,,,
12,277,68139002.96,384296125.7,126101524.7,22258486.73,33377116.56,0,0,,,558," 3,772,049,622 "," 723,777,264 "," 799,361,140 ",,,,,,,,,,,,,,,
13,277,68139002.96,533154757.4,126101524.7,22258486.73,33377116.56,0,0,,,683," 7,861,588,126 "," 274,150,423 "," 592,998,957 ",,,,,,,,,,,,,,,
14,277,68139002.96,90446449.16,126101524.7,22258486.73,33377116.56,0,0,,,832," 6,922,140,738 "," 501,128,382 "," 737,306,838 ",,,,,,,,,,,,,,,
15,277,68139002.96,90143923.55,126101524.7,22258486.73,35333137.34,0,0,,,1221," 5,211,380,132 "," 387,948,678 "," 583,523,238 ",,,,,,,,,,,,,,,
16,277,68139002.96,90143923.55,126101524.7,30508462.75,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
17,277,68139002.96,90143923.55,126101524.7,22258486.73,108149774,0,0,,,,,,,,,,,,,,,,,,,,,
18,277,68139002.96,118701549.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
19,277,68139002.96,125740809.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
20,277,68139002.96,114413510.4,126101524.7,22258486.73,166175886.5,0,0,,,,,,,,,,,,,,,,,,,,,
21,277,68139002.96,90143923.55,126101524.7,22258486.73,112907953.5,0,0,,,,,,,,,,,,,,,,,,,,,
22,277,68139002.96,114015667,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
23,277,68139002.96,90143923.55,126101524.7,22258486.73,112160577.7,0,0,,,,,,,,,,,,,,,,,,,,,
24,277,68139002.96,127964717.8,126101524.7,22258486.73,535360174.7,0,0,,,,,,,,,,,,,,,,,,,,,
25,277,68139002.96,90143923.55,126101524.7,22258486.73,104931644.2,0,0,,,,,,,,,,,,,,,,,,,,,
26,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
27,277,68139002.96,90143923.55,140862637.5,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
28,277,68139002.96,97959479.93,126101524.7,22258486.73,103207389.7,0,0,,,,,,,,,,,,,,,,,,,,,
29,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
30,277,68139002.96,90143923.55,126101524.7,22258486.73,42263202.06,0,0,,,,,,,,,,,,,,,,,,,,,
31,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
32,277,68139002.96,125580007.8,126101524.7,22258486.73,39626298.19,0,0,,,,,,,,,,,,,,,,,,,,,
33,277,68139002.96,90143923.55,126101524.7,22258486.73,123769178.4,0,0,,,,,,,,,,,,,,,,,,,,,
34,277,68139002.96,101944101.6,126101524.7,33154540.74,96039932.78,0,0,,,,,,,,,,,,,,,,,,,,,
35,277,68139002.96,193109570.2,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
36,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
37,277,68139002.96,110793116.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
38,277,68139002.96,120113571.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
39,277,68139002.96,97978370.11,126101524.7,22258486.73,149973229.6,0,0,,,,,,,,,,,,,,,,,,,,,
40,277,2171485581,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
41,277,68139002.96,116806741.7,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
42,277,68139002.96,114349155,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
43,277,68139002.96,90143923.55,126101524.7,22258486.73,100906328.8,0,0,,,,,,,,,,,,,,,,,,,,,
44,277,162069675.5,278527335.4,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
45,277,68139002.96,96544265.83,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
46,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
47,277,68139002.96,90860554.18,126387951.5,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
48,277,68139002.96,186475281.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
49,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
50,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
51,277,68139002.96,99963006.86,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
52,277,68139002.96,97906135.86,126101524.7,22258486.73,38168068.34,0,0,,,,,,,,,,,,,,,,,,,,,
53,277,68139002.96,91014848.63,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
54,277,68139002.96,91013217.11,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
55,277,68139002.96,90143923.55,126101524.7,22258486.73,124662403.1,0,0,,,,,,,,,,,,,,,,,,,,,
56,277,68139002.96,90143923.55,126101524.7,22258486.73,111469643.1,0,0,,,,,,,,,,,,,,,,,,,,,
57,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
58,277,68139002.96,117147508,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
59,277,68139002.96,277580847.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
60,277,81852499.1,91568304.18,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
61,277,68139002.96,90143923.55,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
62,277,68139002.96,90143923.55,126101524.7,22305762,181613202.1,0,0,,,,,,,,,,,,,,,,,,,,,
63,277,175264619.3,90143923.55,126101524.7,22258486.73,209825540.5,0,0,,,,,,,,,,,,,,,,,,,,,
64,277,68139002.96,96591967.54,126101524.7,22258486.73,39921888.79,0,0,,,,,,,,,,,,,,,,,,,,,
65,277,68139002.96,116041472.8,126101524.7,22258486.73,87270220.4,0,0,,,,,,,,,,,,,,,,,,,,,
66,277,68139002.96,90143923.55,126101524.7,22258486.73,566550102.4,0,0,,,,,,,,,,,,,,,,,,,,,
67,277,68139002.96,102146335.2,126101524.7,22258486.73,478809681.9,0,0,,,,,,,,,,,,,,,,,,,,,
68,277,68139002.96,119116549,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
69,277,68139002.96,99887338.84,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
70,277,68139002.96,122220161.7,126101524.7,22258486.73,78744007.53,0,0,,,,,,,,,,,,,,,,,,,,,
71,277,68139002.96,90143923.55,126101524.7,22258486.73,113215240.1,0,0,,,,,,,,,,,,,,,,,,,,,
72,277,68139002.96,91560719.94,126101524.7,22258486.73,108503752.4,0,0,,,,,,,,,,,,,,,,,,,,,
73,277,68139002.96,112254417.5,126101524.7,22258486.73,68761519.39,0,0,,,,,,,,,,,,,,,,,,,,,
74,277,68139002.96,90143923.55,126101524.7,22258486.73,103970287.1,0,0,,,,,,,,,,,,,,,,,,,,,
75,277,68139002.96,115816559.5,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
76,277,68139002.96,109385168.9,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
77,277,68139002.96,90446363.01,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
78,277,68139002.96,115889008.8,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
79,277,68139002.96,442884384.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
80,277,68139002.96,120769337.6,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
81,277,68139002.96,118693119.7,126101524.7,22258486.73,314598548.8,0,0,,,,,,,,,,,,,,,,,,,,,
82,277,68139002.96,90143923.55,126101524.7,22258486.73,98202904,0,0,,,,,,,,,,,,,,,,,,,,,
83,277,68139002.96,90448329.73,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
84,277,68139002.96,396219639.3,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
85,277,68139002.96,90143923.55,126101524.7,22258486.73,132737523.5,0,0,,,,,,,,,,,,,,,,,,,,,
86,277,68139002.96,163718356,126101524.7,22258486.73,33377116.56,0,0,,,,,,,,,,,,,,,,,,,,,
87,277,68139002.96,99956440.63,126101524.7,22258486.73,81539821.59,0,0,,,,,,,,,,,,,,,,,,,,,
88,277,68139002.96,120699884.1,126101524.7,22258486.73,347062234.6,0,0,,,,,,,,,,,,,,,,,,,,,
89,277,68139002.96,91577516.27,126101524.7,22258486.73,114755095.5,0,0,,,,,,,,,,,,,,,,,,,,,
